epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3693,1.44461,4.02282,1.93841,0.49425,0.22727,0.25146,0.12434,1.06879,4.24873,1.49807,4e-05,4e-05,4e-05
2,83.8419,0.93305,2.16541,1.47802,0.75962,0.90909,0.876,0.77084,0.61243,7.85016,1.19338,9.901e-05,9.901e-05,9.901e-05
3,155.351,0.55281,1.59408,1.21781,1,0.94521,0.995,0.90665,0.4706,6.3013,0.94583,0.000156832,0.000156832,0.000156832
4,219.205,0.59079,1.71942,1.24783,1,0.53676,0.68956,0.63066,0.44659,4.52457,0.89495,0.000213466,0.000213466,0.000213466
5,279.952,0.39412,1.27829,1.12517,0.98739,0.95455,0.98643,0.89288,0.45265,2.60088,0.89049,0.000268912,0.000268912,0.000268912
6,388.905,0.41781,1.041,1.12953,0.76651,0.81818,0.76183,0.56106,0.87428,4.25618,1.16439,0.00032317,0.00032317,0.00032317
7,418.81,0.3996,0.98625,1.05944,0.81885,0.45455,0.54181,0.45668,1.16292,5.1447,1.43803,0.00037624,0.00037624,0.00037624
8,447.986,0.51147,1.01266,1.1975,0.77633,0.36364,0.46185,0.36527,1.42097,5.48555,1.59304,0.000428122,0.000428122,0.000428122
9,475.601,0.48378,0.96891,1.16709,0.55142,0.45455,0.48557,0.38011,0.90682,4.7613,1.2856,0.000478816,0.000478816,0.000478816
10,504.922,0.57157,1.1073,1.2093,0.52975,0.36364,0.38169,0.28619,0.75424,4.03929,1.15237,0.000528322,0.000528322,0.000528322
11,532.826,0.38164,0.97831,1.05561,0.73288,0.81818,0.68855,0.464,0.99376,3.60463,1.2621,0.00057664,0.00057664,0.00057664
12,564.982,0.3271,0.83396,1.00675,0.82909,0.90909,0.92164,0.6596,0.81852,3.31691,1.26083,0.00062377,0.00062377,0.00062377
13,593.348,0.50052,1.08081,1.22766,0.28978,0.54545,0.31452,0.1087,1.89043,3.21189,1.87764,0.000669712,0.000669712,0.000669712
14,622.532,0.36996,0.99975,1.06771,0.35488,0.36364,0.28156,0.06126,3.15273,3.53402,2.73465,0.000714466,0.000714466,0.000714466
15,655.073,0.35218,0.67505,1.03775,0.35488,0.36364,0.28156,0.06126,3.15273,3.53402,2.73465,0.000758032,0.000758032,0.000758032
16,691.387,0.45892,0.73909,1.1522,0.18402,0.22727,0.07269,0.00956,4.24933,3.56758,3.3885,0.00080041,0.00080041,0.00080041
17,745.491,0.4286,0.79385,1.11749,0.45353,0.40909,0.32377,0.11128,2.81504,3.29891,2.35205,0.0008416,0.0008416,0.0008416
18,796.402,0.4141,0.74545,1.05168,0.45353,0.40909,0.32377,0.11128,2.81504,3.29891,2.35205,0.000881602,0.000881602,0.000881602
19,842.785,0.42127,0.75989,1.0566,0.7868,0.5,0.57505,0.45148,1.18619,1.8474,1.4167,0.000920416,0.000920416,0.000920416
20,899.365,0.39288,0.66874,1.10227,0.7247,0.77273,0.73007,0.61074,0.89166,1.97338,1.38432,0.000958042,0.000958042,0.000958042
21,950.563,0.41291,0.60612,1.07483,0.7247,0.77273,0.73007,0.61074,0.89166,1.97338,1.38432,0.00099448,0.00099448,0.00099448
22,990.761,0.36981,0.57533,1.07053,0.91239,1,0.96917,0.749,0.71704,1.45203,1.02332,0.00102973,0.00102973,0.00102973
23,1035.76,0.54828,0.79245,1.23637,0.91239,1,0.96917,0.749,0.71704,1.45203,1.02332,0.00106379,0.00106379,0.00106379
