epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.559,0.50823,3.39898,1.19898,0.00337,1,0.21253,0.15764,0.25339,3.82224,0.52449,0.00021816,0.00021816,0.00021816
2,490.833,0.25198,2.84951,1.02694,0.00553,1,0.34244,0.32183,0.4903,3.81129,0.83521,0.000436591,0.000436591,0.000436591
3,728.236,0.27341,2.24619,1.00082,0.39869,0.62323,0.5538,0.50743,0.44712,2.55768,0.71798,0.000646023,0.000646023,0.000646023
4,959.11,0.28413,1.89085,0.99982,0.5836,0.6981,0.60588,0.57485,0.30448,3.35043,0.53364,0.000846455,0.000846455,0.000846455
5,1236.58,0.28184,1.66394,1.00871,0.60572,0.85203,0.78772,0.66995,0.50398,3.22334,0.75494,0.000837007,0.000837007,0.000837007
6,1517.07,0.2597,1.46513,0.97658,0.5983,0.80663,0.81674,0.58872,0.90211,3.07158,1.02022,0.000819009,0.000819009,0.000819009
7,1786.43,0.23525,1.33471,0.96764,0.66187,0.84318,0.8746,0.77458,0.43316,2.6911,0.67383,0.000801011,0.000801011,0.000801011
8,2057.57,0.22556,1.17384,0.95251,0.85938,0.95342,0.94349,0.87904,0.36121,1.43557,0.61343,0.000783013,0.000783013,0.000783013
9,2347.74,0.23641,1.17199,0.96548,0.85112,0.92633,0.9619,0.92507,0.26107,1.37818,0.45388,0.000765014,0.000765014,0.000765014
10,2605.39,0.21634,1.08314,0.96544,0.77872,0.87818,0.93092,0.87232,0.30739,1.29672,0.48744,0.000747016,0.000747016,0.000747016
11,2869.25,0.21528,1.19633,0.94913,0.8599,0.96798,0.97401,0.95259,0.256,1.10259,0.44168,0.000729018,0.000729018,0.000729018
12,3132.85,0.22591,1.11777,0.97135,0.89049,0.92747,0.97366,0.90059,0.27789,1.23527,0.45689,0.00071102,0.00071102,0.00071102
13,3276.43,0.21498,1.06011,0.93881,0.86925,0.92381,0.98309,0.8515,0.4643,1.48092,0.59297,0.000693022,0.000693022,0.000693022
14,3427.52,0.20797,0.98193,0.93883,0.93684,0.96863,0.98824,0.90232,0.36539,1.38332,0.52701,0.000675023,0.000675023,0.000675023
